doc_type_name	date	description	source_url_si	source_url_ta	source_url_en	doc_num	id	dir_data
extra-gazettes	2025-07-07	Elections Commission - Declare Elected as a Member of Parliament under Article 99A of the Constitution (Elected Mr. U.D.N. Jayaweera as a Member of the Tenth Parliament)	https://documents.gov.lk/view/extra-gazettes/2025/7/2444-07_S.pdf	None	None	2444/07	2444-07	data/extra-gazettes/2025/2444-07
extra-gazettes	2025-07-07	"Election Commission - Local Authorities Elections Ordinance (Chapter 262) - Notice under Section 66 (2) ""Elected to the Members of Akmeemana P.S and Bandarawela P.S"	https://documents.gov.lk/view/extra-gazettes/2025/7/2444-02_S.pdf	https://documents.gov.lk/view/extra-gazettes/2025/7/2444-02_T.pdf	https://documents.gov.lk/view/extra-gazettes/2025/7/2444-02_E.pdf	2444/02	2444-02	data/extra-gazettes/2025/2444-02
bills	2025-07-04	Land Development (Amendment) - GS	https://documents.gov.lk/view/bills/2025/7/617-2025_S.pdf	https://documents.gov.lk/view/bills/2025/7/617-2025_T.pdf	https://documents.gov.lk/view/bills/2025/7/617-2025_E.pdf	617/2025	617-2025	data/bills/2025/617-2025
extra-gazettes	2025-07-04	Election Commission - Elected Chairman and Vice Chairman of 03 Local Government Institutions in Western Province	https://documents.gov.lk/view/extra-gazettes/2025/7/2443-61_S.pdf	None	None	2443/61	2443-61	data/extra-gazettes/2025/2443-61
extra-gazettes	2025-07-04	Election Commission - Local Authorities Elections Ordinance (Chapter 262) Notice under Section 66(2) Elected to the Members of Biyagama, Weraketiya and Thalawa P.S	https://documents.gov.lk/view/extra-gazettes/2025/7/2443-60_S.pdf	None	https://documents.gov.lk/view/extra-gazettes/2025/7/2443-60_E.pdf	2443/60	2443-60	data/extra-gazettes/2025/2443-60
extra-gazettes	2025-07-04	Department of Local Government - Norther Province - Elected Mayor, Deputy Mayor, Chairman and Vice Chairman in the 1st Meeting of Local Authorities in Norther Province	https://documents.gov.lk/view/extra-gazettes/2025/7/2443-58_S.pdf	None	https://documents.gov.lk/view/extra-gazettes/2025/7/2443-58_E.pdf	2443/58	2443-58	data/extra-gazettes/2025/2443-58
gazettes	2025-07-04	Legal Section	https://documents.gov.lk/view/gazettes/2025/7/2025-07-04(II-0)S.pdf	None	https://documents.gov.lk/view/gazettes/2025/7/2025-07-04(II-0)E.pdf	2025-07-04-legal-section	2025-07-04-legal-section	data/gazettes/2025/2025-07-04-legal-section
gazettes	2025-07-04	Land Section	https://documents.gov.lk/view/gazettes/2025/7/2025-07-04(III-0)S.pdf	None	https://documents.gov.lk/view/gazettes/2025/7/2025-07-04(III-0)E.pdf	2025-07-04-land-section	2025-07-04-land-section	data/gazettes/2025/2025-07-04-land-section
gazettes	2025-07-04	IV (A) - Provincial Councils	https://documents.gov.lk/view/gazettes/2025/7/2025-07-04(IV-A)S.pdf	None	https://documents.gov.lk/view/gazettes/2025/7/2025-07-04(IV-A)E.pdf	2025-07-04-iv-a-provincial-councils	2025-07-04-iv-a-provincial-councils	data/gazettes/2025/2025-07-04-iv-a-provincial-councils
gazettes	2025-07-04	(III) - TRADE MARKS AND PATENT NOTICES	https://documents.gov.lk/view/gazettes/2025/7/2025-07-04(I-III)S.pdf	None	https://documents.gov.lk/view/gazettes/2025/7/2025-07-04(I-III)E.pdf	2025-07-04-iii-trade-marks-and-patent-notices	2025-07-04-iii-trade-marks-and-patent-notices	data/gazettes/2025/2025-07-04-iii-trade-marks-and-patent-notices
gazettes	2025-07-04	(IIB) - Advertising	None	https://documents.gov.lk/view/gazettes/2025/7/2025-07-04(I-IIB)T.pdf	https://documents.gov.lk/view/gazettes/2025/7/2025-07-04(I-IIB)E.pdf	2025-07-04-iib-advertising	2025-07-04-iib-advertising	data/gazettes/2025/2025-07-04-iib-advertising
gazettes	2025-07-04	(IIA) - Advertising	https://documents.gov.lk/view/gazettes/2025/7/2025-07-04(I-IIA)S.pdf	None	https://documents.gov.lk/view/gazettes/2025/7/2025-07-04(I-IIA)E.pdf	2025-07-04-iia-advertising	2025-07-04-iia-advertising	data/gazettes/2025/2025-07-04-iia-advertising
gazettes	2025-07-04	(I) - General	https://documents.gov.lk/view/gazettes/2025/7/2025-07-04(I-I)S.pdf	None	None	2025-07-04-i-general	2025-07-04-i-general	data/gazettes/2025/2025-07-04-i-general
bills	2025-07-03	Mediation (Civil and Commercial Disputes) - GS	https://documents.gov.lk/view/bills/2025/7/616-2025_S.pdf	https://documents.gov.lk/view/bills/2025/7/616-2025_T.pdf	https://documents.gov.lk/view/bills/2025/7/616-2025_E.pdf	616/2025	616-2025	data/bills/2025/616-2025
